"Step","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_P3P","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MAX"
"2052","","","","","","","","","","","","","93.9005811131959","93.9005811131959","93.9005811131959"
"2056","","","","","","","","","","11.926614951700856","11.926614951700856","11.926614951700856","","",""
"2057","","","","","","","117.69988021477448","117.69988021477448","117.69988021477448","","","","","",""
"2059","","","","103.56596354007782","103.56596354007782","103.56596354007782","","","","","","","","",""
"2060","90.62053677101206","90.62053677101206","90.62053677101206","","","","","","","","","","","",""
"2061","","","","","","","","","","","","","47.06201609225178","47.06201609225178","47.06201609225178"
"2065","","","","","","","","","","34.06833627078237","34.06833627078237","34.06833627078237","","",""
"2066","","","","","","","92.78521972611456","92.78521972611456","92.78521972611456","","","","","",""
"2068","","","","83.75477330936009","83.75477330936009","83.75477330936009","","","","","","","","",""
"2069","140.3356798511727","140.3356798511727","140.3356798511727","","","","","","","","","","","",""
"2070","","","","","","","","","","","","","128.9894922516488","128.9894922516488","128.9894922516488"
"2074","","","","","","","","","","60.47952367111665","60.47952367111665","60.47952367111665","","",""
"2075","","","","","","","101.17765061653579","101.17765061653579","101.17765061653579","","","","","",""
"2077","","","","152.60846549131125","152.60846549131125","152.60846549131125","","","","","","","","",""
"2078","154.1899160883232","154.1899160883232","154.1899160883232","","","","","","","","","","","",""
"2079","","","","","","","","","","","","","129.36432951984665","129.36432951984665","129.36432951984665"
"2083","","","","","","","","","","45.61232292428974","45.61232292428974","45.61232292428974","","",""
"2084","","","","","","","88.44054413462808","88.44054413462808","88.44054413462808","","","","","",""
"2086","","","","116.52749708162682","116.52749708162682","116.52749708162682","","","","","","","","",""
"2087","147.31180862080856","147.31180862080856","147.31180862080856","","","","","","","","","","","",""
"2088","","","","","","","","","","","","","63.02980615989867","63.02980615989867","63.02980615989867"
"2092","","","","","","","","","","69.30106326414104","69.30106326414104","69.30106326414104","","",""
"2093","","","","","","","84.3500341466908","84.3500341466908","84.3500341466908","","","","","",""
"2095","","","","66.09338056837076","66.09338056837076","66.09338056837076","","","","","","","","",""
"2096","101.39356622861035","101.39356622861035","101.39356622861035","","","","","","","","","","","",""
"2097","","","","","","","","","","","","","107.45695555697048","107.45695555697048","107.45695555697048"
"2101","","","","","","","","","","96.25102626892563","96.25102626892563","96.25102626892563","","",""
"2102","","","","","","","98.15423236162042","98.15423236162042","98.15423236162042","","","","","",""
"2104","","","","120.55437565543505","120.55437565543505","120.55437565543505","","","","","","","","",""
"2105","40.90584789158174","40.90584789158174","40.90584789158174","","","","","","","","","","","",""
"2106","","","","","","","","","","","","","50.005792577173736","50.005792577173736","50.005792577173736"
"2110","","","","","","","","","","58.07291230330647","58.07291230330647","58.07291230330647","","",""
"2111","","","","","","","66.37398452595313","66.37398452595313","66.37398452595313","","","","","",""
"2113","","","","67.79796963497962","67.79796963497962","67.79796963497962","","","","","","","","",""
"2114","114.77522538495889","114.77522538495889","114.77522538495889","","","","","","","","","","","",""
"2115","","","","","","","","","","","","","113.09045528013208","113.09045528013208","113.09045528013208"
"2119","","","","","","","","","","85.86212971631251","85.86212971631251","85.86212971631251","","",""
"2120","","","","","","","111.9817805012291","111.9817805012291","111.9817805012291","","","","","",""
"2122","","","","169.83670181702382","169.83670181702382","169.83670181702382","","","","","","","","",""
"2123","70.3646045097485","70.3646045097485","70.3646045097485","","","","","","","","","","","",""
"2124","","","","","","","","","","","","","62.42478409797151","62.42478409797151","62.42478409797151"
"2128","","","","","","","","","","17.78850910492568","17.78850910492568","17.78850910492568","","",""
"2129","","","","","","","27.53278839781825","27.53278839781825","27.53278839781825","","","","","",""
"2131","","","","9.581148332289217","9.581148332289217","9.581148332289217","","","","","","","","",""
"2132","96.57641273721296","96.57641273721296","96.57641273721296","","","","","","","","","","","",""
"2133","","","","","","","","","","","","","151.71834040566142","151.71834040566142","151.71834040566142"
"2137","","","","","","","","","","43.18574140922374","43.18574140922374","43.18574140922374","","",""
"2138","","","","","","","127.20354829768029","127.20354829768029","127.20354829768029","","","","","",""
"2140","","","","4.135356847716423","4.135356847716423","4.135356847716423","","","","","","","","",""
"2141","103.17746420636715","103.17746420636715","103.17746420636715","","","","","","","","","","","",""
"2142","","","","","","","","","","","","","68.30126992311409","68.30126992311409","68.30126992311409"
"2146","","","","","","","","","","33.776223810814514","33.776223810814514","33.776223810814514","","",""
"2147","","","","","","","60.41493935783397","60.41493935783397","60.41493935783397","","","","","",""
"2149","","","","25.959394845960304","25.959394845960304","25.959394845960304","","","","","","","","",""
"2150","145.42904189099946","145.42904189099946","145.42904189099946","","","","","","","","","","","",""
